Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
587-1994-1-ND,TAIYO YUDEN (VA),GMK105BJ104KV-F,REF98,4,
541-1.0MJCT-ND,VISHAY DALE (VA),CRCW04021M00JNED,REF157,1,
311-1.00KHRTR-ND,Yageo,RC0603FR-071KL,REF163,2,
399-7846-1-ND,KEMET (VA),C0603C105K3PACTU,REF149,1,
399-1035-1-ND,Kemet,C0402C472K3RACTU,REF158,1,
399-5157-1-ND,KEMET (VA),T494A106M020AT,REF150,1,
445-1565-1-ND,TDK Corporation,MPZ1608S221A,REF151,1,
399-1075-1-ND,KEMET (VA),C0603C471K5RACTU,REF119,1,
S9007E-03-ND,Sullins Connector Solutions,LPPB032NFSP-RC,REF159,1,
160-1647-1-ND,LITE-ON INC (VA),LTST-C191TBKT,REF104,1,
CG0603MLC-05ECT-ND,Bourns Inc.,CG0603MLC-05E,REF162,2,
160-1435-1-ND,LITE-ON INC (VA),LTST-C190KGKT,REF114,1,
609-3268-ND,FCI,68000-418HLF,REF155,1,
952-1901-ND,HARWIN INC,M20-9732046,REF152,1,
576-1281-1-ND,MICREL INC (VA),MIC5219-3.3YM5 TR,REF129,1,
H2960CT-ND,Hirose,UX60-MB-5S8,REF161,1,
ATXMEGA32A4U-MH-ND,ATMEL,ATXMEGA32A4U-MH,REF154,1,
